,Id,Name,Authors,ISBN,Rating,PublishYear,PublishMonth,PublishDay,Publisher,RatingDist5,RatingDist4,RatingDist3,RatingDist2,RatingDist1,RatingDistTotal,CountsOfReview,Language,PagesNumber,Description,pagesNumber,Count of text reviews
24680,1956954,"Don't Hex with Texas (Enchanted, Inc., #4)",Shanna Swendson,0345492935,3.96,2008,4,29,Ballantine Books,5:1698,4:2256,3:1355,2:196,1:52,total:5557,341,eng,292.0,"Everything’s bigger in Texas–including romance, magic, and danger!<br /><br />Katie Chandler has fled fast-paced Manhattan and returned home to a simpler life, working at her family’s feed-and-seed store in Cobb, Texas. In a painfully selfless gesture, Katie had left the sexy wizard Owen Palmer to battle his demons in the magical realm–after all, Katie just seemed to attract evil, which only made Owen’s job a lot harder. But now it seems that trouble has followed her home: Despite the fact that Merlin, Katie’s old boss at Magic, Spells, and Illusions, Inc., has assured her that Cobb is free of enchantmen, (magically speaking), Katie begins to notice curious phenomena. <br /><br />Cobb is being plagued by a series of inexplicable petty crimes and other devilish mischief, and after her experiences in Manhattan, Katie knows “unauthorized magic” when she sees it. As this new darkness strikes deep in the heart of Texas, Owen appears (literally) to investigate. Now Katie’s friends and family must show the bad guys why it’s bad luck to hex with Texas, while Katie and Owen combine their strengths like never before to uncover a sinister plot before evil takes root in the Lone Star State. <br /><br />“Enchanting . . . Trying to start a romance with the world hanging in the balance is not optimal, but it sure is funny.” <br />–<i>Romantic Times</i>, on Shanna Swendson’s <i>Damsel Under Stress</i><br /><br />“Winning . . . [a] smart, snappy novel.”<br /><i>–Booklist</i>, on Shanna Swendson’s<i> Once Upon Stilettos</i>",,
26465,1961496,To Ride Hell’s Chasm,Janny Wurts,0007101112,3.82,2009,8,1,Voyager (HarperCollins),5:424,4:515,3:305,2:107,1:51,total:1402,89,eng,681.0,"An epic fantasy standalone novel from the author of the stunning <a href=""https://www.goodreads.com/series/49113-wars-of-light-and-shadow"" rel=""nofollow"">Wars of Light and Shadow</a> series.<br /><br />When Princess Anja fails to appear at her betrothal banquet, the tiny, peaceful kingdom of Sessalie is plunged into intrigue. Two warriors are charged with recovering the distraught king's beloved daughter. Taskin, Commander of the Royal Guard, whose icy competence and impressive life-term as the Crown's right-hand man command the kingdom's deep-seated respect; and Mykkael, the rough-hewn newcomer who has won the post of Captain of the Garrison – a scarred veteran with a deadly record of field warfare, whose 'interesting' background and foreign breeding are held in contempt by court society.<br /><br />As the princess's trail vanishes outside the citadel's gates, anxiety and tension escalate. Mykkael's investigations lead him to a radical explanation for the mystery, but he finds himself under suspicion from the court factions. Will Commander Taskin's famous fair-mindedness be enough to unravel the truth behind the garrison captain's dramatic theory: that the resourceful, high-spirited princess was not taken by force, but fled the palace to escape a demonic evil?",,
26475,1961516,"Savor Me Slowly (Alien Huntress, #3)",Gena Showalter,1416531637,4.17,2007,12,26,Pocket Star,5:2485,4:2161,3:1070,2:163,1:28,total:5907,197,eng,384.0,"HALF HUMAN, HALF MACHINE...ALL WOMAN <br /><br />Mishka Le'Ace was created to be an undercover operative...literally. Her beautiful body has been mechanically augmented to give her superhuman strength -- strength she's going to need. Her latest mission sends her to rescue Alien Investigation and Removal agent Jaxon Tremain from torture and death. With him, she discovers a passion unlike any other. A passion she was forbidden to know.... <br /><br />From the moment they meet in a darkened cell, Jaxon craves her touch. But the machine half of Le'Ace forces her to do things she doesn't always want to do. Even betray him...and ultimately destroy him. Now Jaxon must battle the man controlling Le'Ace, and even Le'Ace herself, to at last claim the woman he's come to love.",,
28979,1966969,"Fire Study (Study, #3)",Maria V. Snyder,0778325342,3.93,2008,2,26,Mira,5:18135,4:19117,3:12531,2:3509,1:878,total:54170,3139,eng,441.0,"<b>The apprenticeship is over—now the real test has begun.</b><br /><br />When word that Yelena is a Soulfinder—able to capture and release souls—spreads like wildfire, people grow uneasy. Already Yelena's unusual abilities and past have set her apart. As the Council debates Yelena's fate, she receives a disturbing message: a plot is rising against her homeland, led by a murderous sorcerer she has defeated before...<br /><br />Honor sets Yelena on a path that will test the limits of her skills, and the hope of reuniting with her beloved spurs her onward. Her journey is fraught with allies, enemies, lovers and would-be assassins, each of questionable loyalty. Yelena will have but one chance to prove herself—and save the land she holds dear.",,
30946,1971304,City of Thieves,David Benioff,0670018708,4.3,2008,6,1,Viking Books,5:52866,4:43497,3:12890,2:2213,1:795,total:112261,9276,eng,258.0,"From the critically acclaimed author of The 25th Hour, a captivating novel about war, courage, survival — and a remarkable friendship that ripples across a lifetime.<br /><br />During the Nazis’ brutal siege of Leningrad, Lev Beniov is arrested for looting and thrown into the same cell as a handsome deserter named Kolya. Instead of being executed, Lev and Kolya are given a shot at saving their own lives by complying with an outrageous directive: secure a dozen eggs for a powerful Soviet colonel to use in his daughter’s wedding cake. In a city cut off from all supplies and suffering unbelievable deprivation, Lev and Kolya embark on a hunt through the dire lawlessness of Leningrad and behind enemy lines to find the impossible.<br /><br />By turns insightful and funny, thrilling and terrifying, <i>City of Thieves</i> is a gripping, cinematic World War II adventure and an intimate coming-of-age story with an utterly contemporary feel for how boys become men.",,
32055,1974134,"Making Money (Discworld, #36)",Terry Pratchett,0552154903,4.24,2008,6,17,Corgi Books,5:25743,4:21436,3:8665,2:1109,1:304,total:57257,149,eng,480.0,"It's an offer you can't refuse.<br /><br />Who would not to wish to be the man in charge of Ankh-Morpork's Royal Mint and the bank next door?<br /><br />It's a job for life. But, as former con-man Moist von Lipwig is learning, the life is not necessarily for long.<br /><br />The Chief Cashier is almost certainly a vampire. There's something nameless in the cellar (and the cellar itself is pretty nameless), it turns out that the Royal Mint runs at a loss. A 300 year old wizard is after his girlfriend, he's about to be exposed as a fraud, but the Assassins Guild might get him first. In fact lot of people want him dead<br /><br />Oh. And every day he has to take the Chairman for walkies.<br /><br />Everywhere he looks he's making enemies.<br /><br />What he should be doing is . . . Making Money!",,
37634,1986628,Wife for a Week (Bennett #1),Kelly Hunter,0373820534,3.86,2007,8,7,Harlequin Presents,5:334,4:375,3:268,2:73,1:24,total:1074,110,eng,192.0,"Nicholas Cooper must produce a wife for his business deal, and Hallie Bennett is beautiful and intelligent enough to pull it off. She needs the money, and Nicholas has determined some strict rules for their week together. Rule No. 1: Displays of affection in public only. Keeping their hands on each other in public turns out to be surprisingly easy. It's keeping them <i>off</i> in private that's the problem. Hallie is falling for Nicholas, but will Nicholas make his contract wife his real-life bride?",,
41903,1996409,"Dragonflight (Pern: Dragonriders of Pern, #1)",Anne McCaffrey,0345284267,4.09,1979,4,12,Del Rey Books,5:51517,4:41093,3:22970,2:5305,1:2095,total:122980,179,eng,303.0,"HOW CAN ONE GIRL SAVE AN ENTIRE WORLD?<br /><br />To the nobles who live in Benden Weyr, Lessa is nothing but a ragged kitchen girl. For most of her life she has survived by serving those who betrayed her father and took over his lands. Now the time has come for Lessa to shed her disguise—and take back her stolen birthright. <br /><br />But everything changes when she meets a queen dragon. The bond they share will be deep and last forever. It will protect them when, for the first time in centuries, Lessa’s world is threatened by Thread, an evil substance that falls like rain and destroys everything it touches. Dragons and their Riders once protected the planet from Thread, but there are very few of them left these days. Now brave Lessa must risk her life, and the life of her beloved dragon, to save her beautiful world. . . .",,
445,1601589,The Fortunes of Indigo Skye,Deb Caletti,1416910077,3.54,2008,25,3,Simon Pulse,5:593,4:935,3:981,2:338,1:102,total:2949,235,,,"<b>I suddenly see where I'm standing, and that's at the edge of change - really, really big change.</b> <p> Eighteen-year-old Indigo Skye feels like she has it all - a waitress job she loves, an adorable refrigerator-delivery-guy boyfriend, and a home life that's slightly crazed but rich in love. Until a mysterious man at the restaurant leaves her a 2.5 million-dollar tip, and her life as she knew it is transformed. </p><p> At first its amazing: a hot new car, enormous flat-screen TV, and presents for everyone she cares about. She laughs off the warnings that money changes people, that they come to rely on what they <i>have</i> instead of who they <i>are</i>. Because it won't happen...not to her. Or will it? What do you do when you can buy anything your heart desires -- but what your heart desires can't be bought? </p><p> This is the story of a girl who gets rich, gets lost, and ultimately finds her way back - if not to where she started, then to where she can start again.</p>",298.0,235.0
1613,1605197,"Absolute Boyfriend, Vol. 6",Yuu Watase,1421515628,4.12,2008,6,5,VIZ Media LLC,5:2301,4:1208,3:942,2:275,1:81,total:4807,188,eng,,"Riiko has chosen her one true boyfriend, but she finds her life changing quickly after her decision. Will Riiko and her boyfriend have their happily-ever-after?",191.0,188.0
