,Id,Name,Authors,ISBN,Rating,PublishYear,PublishMonth,PublishDay,Publisher,RatingDist5,RatingDist4,RatingDist3,RatingDist2,RatingDist1,RatingDistTotal,CountsOfReview,Language,PagesNumber,Description,pagesNumber,Count of text reviews
17683,1240662,"Lover Enshrined (Black Dagger Brotherhood, #6)",J.R. Ward,0451222725,4.12,2008,3,6,Signet,5:46658,4:30877,3:19783,2:5143,1:1270,total:103731,3633,eng,,"<b>
  <i>In this ""frighteningly addictive"" paranormal romance saga there's a war raging between vampires and their slayers. Here are the stories of a secret band of brothers like no other—six vampire warriors, defenders of their race. And now a dutiful twin must choose between two lives...</i>
</b><br /><br />Fiercely loyal to the Black Dagger Brotherhood, Phury has sacrificed himself for the good of the race, becoming the male responsible for keeping the Brotherhood's bloodlines alive. As Primale of the Chosen, he is obligated to father the sons and daughters who will ensure that the traditions of the race survive, and that there are warriors to fight those who want all vampires extinguished. <br /><br />As his first mate, the Chosen Cormia wants to win not only his body, but his heart for herself. She is drawn to the noble responsibility behind the emotionally scarred male. But Phury has never allowed himself to know pleasure or joy. As the war with the Lessening Society grows grim, tragedy looms over the Brotherhood's mansion, and Phury must decide between duty and love....",560.0,3633.0
20789,1248061,"A Coalition of Lions (The Lion Hunters, #2)",Elizabeth Wein,0142401293,3.8,2004,19,8,Firebirds,5:111,4:194,3:123,2:26,1:9,total:463,70,eng,,"After the death of virtually all of her family in the battle of Camlan, Goewin, Princess of Britain, daughter of the High King Artos, makes a desperate journey to African Aksum, to meet with Constantine, the British ambassador and her fiance. But Aksum is undergoing political turmoil, and Goewin's relationship with its ambassador to Britain makes her position more than precarious. Caught between two countries, with the power to transform or end lives, Goewin fights to find and claim her place in a world that has suddenly, irrevocably changed. . . .",210.0,70.0
22091,1251032,Hero,Perry    Moore,1423101952,3.87,2007,28,8,"Little, Brown Books for Young Readers",5:5940,4:5478,3:3890,2:1347,1:535,total:17190,1286,eng,,"The last thing in the world Thom Creed wants is to add to his father's pain, so he keeps secrets. Like that he has special powers. And that he's been asked to join the League - the very organization of superheroes that spurned his dad. But the most painful secret of all is one Thom can barely face himself: he's gay.<br /><br />But becoming a member of the League opens up a new world to Thom. There, he connects with a misfit group of aspiring heroes, including Scarlett, who can control fire but not her anger; Typhoid Larry, who can make anyone sick with his touch; and Ruth, a wise old broad who can see the future. Like Thom, these heroes have things to hide; but they will have to learn to trust one another when they uncover a deadly conspiracy within the League.<br /><br />To survive, Thom will face challenges he never imagined. To find happiness, he'll have to come to terms with his father's past and discover the kind of hero he really wants to be.",428.0,1286.0
23723,1254877,"The Red Headed League (The Adventures of Sherlock Holmes, #2)",Arthur Conan Doyle,0890613141,3.97,1984,1,6,Jamestown Pubns,5:3506,4:4013,3:2811,2:405,1:59,total:10794,261,eng,,"In The Redheaded League, Holmes is engaged upon two seemingly unrelated cases, a daring bank robbery and the disappearance of a pawnbroker's assistant. Using minute details of the small mystery, he is able to solve the larger one. ""Depend upon it,"" says Holmes to Watson in A Case of Identity, ""there is nothing so unnatural as the commonplace."" Holmes is as fascinated by the story of a common young woman whose groom has vanished on the way to the altar as he has been by the woes of kings. He sharpens his powers of detection by putting together scattered facts to form a powerful and unexpected accusation. Holmes tells Watson about one of his first cases, The Musgrave Ritual; one that helped make him famous. Two servants of an English nobleman disappear. By following a trail of obscure clues left behind in an old parchment, Holmes discovers the crown of a former King of England.",368.0,261.0
23748,1254951,"The Luxe (Luxe, #1)",Anna Godbersen,0061345660,3.63,2007,20,11,HarperCollins,5:17318,4:21015,3:17895,2:6953,1:3300,total:66481,4031,eng,,"Pretty girls in pretty dresses, partying until dawn. Irresistible boys with mischievous smiles and dangerous intentions. White lies, dark secrets, and scandalous hookups. This is Manhattan, 1899. Beautiful sisters Elizabeth and Diana Holland rule Manhattan's social scene. Or so it appears. When the girls discover their status among New York City's elite is far from secure, suddenly everyone--from the backstabbing socialite Penelope Hayes, to the debonair bachelor Henry Schoonmaker, to the spiteful maid Lina Broud--threatens Elizabeth's and Diana's golden future. With the fate of the Hollands resting on her shoulders, Elizabeth must choose between family duty and true love. But when her carriage overturns near the East River, the girl whose glittering life lit up the city's gossip pages is swallowed by the rough current. As all of New York grieves, some begin to wonder whether life at the top proved too much for this ethereal beauty, or if, perhaps, someone wanted to see Manhattan's most celebrated daughter disappear... In a world of luxury and deception, where appearance matters above everything and breaking the social code means running the risk of being ostracized forever, five teenagers lead dangerously scandalous lives. This thrilling trip to the age of innocence is anything but innocent.",433.0,4031.0
25154,1258121,"The Lemonade War (The Lemonade War, #1)",Jacqueline Davies,0618750436,3.91,2007,23,4,HMH Books for Young Readers,5:5120,4:5566,3:3809,2:890,1:313,total:15698,1418,en-US,,"<i>For a full hour, he poured lemonade. The world is a thirsty place, he thought as he nearly emptied his fourth pitcher of the day.</i> And I am the Lemonade King.<br /><br />Fourth-grader Evan Treski is people-smart. He’s good at talking with people, even grownups. His younger sister, Jessie, on the other hand, is math-smart, but not especially good with people. So when the siblings’ lemonade stand war begins, there really is no telling who will win—or even if their fight will ever end. Brimming with savvy marketing tips for making money at any business, definitions of business terms, charts, diagrams, and even math problems, this fresh, funny, emotionally charged novel subtly explores how arguments can escalate beyond anyone’s intent.<br /><br />Awards: 2009 Rhode Island Children's Book Award, 2007 New York Public Library 100 Titles for Reading and Sharing, North Carolina Children’s Book Award 2011, 2011 Nutmeg Award (Connecticut)<br /><br />Check out <b><a target=""_blank"" rel=""noopener nofollow"" href=""http://www.lemonadewar.com"">www.lemonadewar.com</a></b> for more information on The Lemonade War Series, including sequels <i>The Lemonade Crime, The Bell Bandit, </i>and <i>The Candy Smash.</i>",192.0,1418.0
27739,1264115,"To Pleasure a Prince (Royal Brotherhood, #2)",Sabrina Jeffries,0743477715,4.03,2005,1,3,Pocket Star,5:1874,4:2226,3:1173,2:200,1:50,total:5523,190,eng,,"Bestselling author Sabrina Jeffries pens the sizzling story of one of three half-noble half brothers, who makes a most unwelcome entrance into society...and a most unexpected match.<br /><br />Beautiful Lady Regina Tremaine has turned down so many suitors that she's called La Belle Dame Sans Merci. The truth: she won't marry because she carries a dark secret. She sees no good reason, however, why her brother shouldn't court the lovely Louisa North -- even if the girl's brother, the notorious ""Dragon Viscount,"" objects.<br /><br />Marcus North, Viscount Draker -- bastard son of the Prince of Wales -- is rumored to be a monster who holds women captive in his dark castle to have his way with them. He has been exiled from polite society for years. But when Lady Regina makes a plea on her brother's behalf, Marcus proposes an outrageous deal: her brother can court Louisa so long as Marcus can court Regina. Can the beauty and the beast survive a proper courtship when the devastatingly improper passion between them threatens to cause the scandal of the century?",364.0,190.0
28264,1265289,The Automatic Detective,A. Lee Martinez,0765318342,3.97,2008,5,2,Tor Books,5:1359,4:1856,3:972,2:180,1:54,total:4421,380,en-US,,"Even in Empire City, a town where weird science is the hope for tomorrow, it’s hard for a robot to make his way. It’s even harder for a robot named Mack Megaton, a hulking machine designed to bring mankind to its knees. But Mack’s not interested in world domination. He’s just a bot trying to get by, trying to demonstrate that he isn’t just an automated smashing machine, and to earn his citizenship in the process. It should be as easy as crushing a tank for Mack, but some bots just can’t catch a break.<br /><br />When Mack’s neighbors are kidnapped, Mack sets off on a journey through the dark alleys and gleaming skyscrapers of Empire City. Along the way, he runs afoul of a talking gorilla, a brainy dame, a mutant lowlife, a little green mob boss, and the secret conspiracy at the heart of Empire’s founders---not to mention more trouble than he bargained for. What started out as one missing family becomes a battle for the future of Empire and every citizen that calls her home.",320.0,380.0
28459,1265703,"Magic Study (Study, #2)",Maria V. Snyder,0778323927,4.05,2007,1,9,Mira,5:24378,4:27175,3:13584,2:2793,1:674,total:68604,291,eng,,"A lesson in loyalty - A master class in intrigue<br /><br />Yelena is a survivor. Kidnapped as a child, held prisoner as a teen, then released to act as a poison taster, she is now a student of magic. But these magic skills place her in imminent danger, and with an execution order on her head, she has no choice but to escape to Sitia, the land of her birth.<br /><br />But nothing in Sitia is familiar. As she struggles to understand where she belongs and how to control her powers, a rogue magician emerges - and Yelena catches his eye. Suddenly she is embroiled in a situation not of her making. And once again her magical abilities will either save her life... or be her downfall.",419.0,291.0
30467,1270360,Looking for Salvation at the Dairy Queen,Susan Gregg Gilmore,0307395014,3.74,2008,12,2,Shaye Areheart Books,5:2310,4:4386,3:3258,2:710,1:147,total:10811,1177,eng,,"Sometimes you have to return to the place where you began, to arrive at the place where you belong.<br /><br />It's the early 1970s. The town of Ringgold, Georgia, has a population of 1,923, one traffic light, one Dairy Queen, and one Catherine Grace Cline. The daughter of Ringgold's third-generation Baptist preacher, Catherine Grace is quick-witted, more than a little stubborn, and dying to escape her small-town life.<br /><br /> Every Saturday afternoon, she sits at the Dairy Queen, eating Dilly Bars and plotting her getaway to Atlanta. And when, with the help of a family friend, the dream becomes a reality, she immediately packs her bags, leaving her family and the boy she loves to claim the life she's always imagined. But before things have even begun to get off the ground in Atlanta, tragedy brings Catherine Grace back home. As a series of extraordinary events alter her perspective and sweeping changes come to Ringgold itself Catherine Grace begins to wonder if her place in the world may actually be, against all odds, right where she began.<br /><br /> Intelligent, charming, and utterly readable, <i>Looking for Salvation at the Dairy Queen</i> marks the debut of a talented new literary voice.",293.0,1177.0
31126,1271864,"The Devil's Web (Web, #3)",Mary Balogh,0440243076,3.63,2007,26,12,Dell,5:602,4:787,3:737,2:226,1:110,total:2462,148,eng,,"Sensual. Seductive. Emotional. No one stirs the heart and imagination like Mary Balogh. In this classic novel, the <i>New York Times </i>bestselling author<i> </i>weaves a spellbinding tale of two people haunted by desire, unable to resist the love that has become their most passionate obsession.…<b>
  <br />
  <br />
</b>When James Purnell walks into the London drawing room and sees Lady Madeline Raine, time stops. Once she had been his for the taking. Now she is an aloof, beautiful stranger, determined to keep the devilishly handsome nobleman from seducing her again. But after four years apart, desire reignites—swift, hot, irresistible—culminating in a night of reckless lovemaking. Suddenly Madeline is faced with an unbearable choice: marry with no hope of love or risk certain ruin. Her decision will have consequences she never imagined, as she makes a shocking discovery about the man she secretly loves. What she doesn’t know is how far James will go to right the wrongs of the past—and how much he’s willing to risk for the woman who already owns him…body, heart, and soul.",464.0,148.0
34012,1278752,The House at Riverton,Kate Morton,0330448447,3.95,2007,15,6,Pan,5:29747,4:40717,3:22617,2:4417,1:1124,total:98622,6168,eng,,"<i>The House at Riverton</i> is a gorgeous debut novel set in England between the wars. Perfect for fans of ""Downton Abbey,"" it's the story of an aristocratic family, a house, a mysterious death, and a way of life that vanished forever, told in flashback by a woman who witnessed it all.<br /><br />The novel is full of secrets - some revealed, others hidden forever, reminiscent of the romantic suspense of Daphne du Maurier. It's also a meditation on memory and the devastation of war and a beautifully rendered window into a fascinating time in history.",599.0,6168.0
34313,1279517,The Grand Finale,Janet Evanovich,0061379263,3.74,2009,24,2,HarperLuxe,5:2905,4:2919,3:3179,2:913,1:173,total:10089,423,eng,,"From the #1 <em>New York Times</em> bestselling author comes a revised, repackaged novel sure to please her many fans. She writes ""high speed comic mayhem"" (<em>Detroit Free Press</em>); she's ""a blast of fresh air"" (<em>Washington Post</em>); ""side-splitting funny"" (<em>Publishers Weekly</em>) and ""a winner"" (<em>Glamour</em>). In other words, she's Janet Evanovich.<br /><br />Berry Knudson had a talent for disaster, but when she climbed a tree to rescue a kitten, she wasn't prepared for the scrumptious hunk undressing in a nearby window, or her dive downward that smashed Jake Sawyer's pizza and won his heart! But was there room in her chaotic schedule for a risk-taking inventor with dreams? She took classes, delivered pizzas, and cared for three eccentric old ladies she rescued from the train station. But Jake thrived on a challenge, and he could be very inventive. Could he teach her there was time to make butterscotch pudding and let herself be loved?",224.0,423.0
35120,1281393,Practical Magic,Alice Hoffman,0399140557,3.78,1995,13,6,Putnam Adult,5:17653,4:25227,3:19236,2:4868,1:1209,total:68193,266,eng,,"When the beautiful and precocious sisters Sally and Gillian Owens are orphaned at a young age, they are taken to a small Massachusetts town to be raised by their eccentric aunts, who happen to dwell in the darkest, eeriest house in town. As they become more aware of their aunts' mysterious and sometimes frightening powers -- and as their own powers begin to surface -- the sisters grow determined to escape their strange upbringing by blending into ""normal"" society.<br /><br />But both find that they cannot elude their magic-filled past. And when trouble strikes -- in the form of a menacing backyard ghost -- the sisters must not only reunite three generations of Owens women but embrace their magic as a gift -- and their key to a future of love and passion. Funny, haunting, and shamelessly romantic, Practical Magic is bewitching entertainment -- Alice Hoffman at her spectacular best.",244.0,266.0
35876,1282954,The Last Anniversary,Liane Moriarty,0060890681,3.75,2014,24,6,Harper Paperbacks,5:18719,4:38203,3:28152,2:5004,1:1069,total:91147,4857,eng,,"<p> Sophie Honeywell always wondered if Thomas Gordon was the one she let get away. He was the perfect boyfriend, but on the day he was to propose, she broke his heart. A year later he married his travel agent, while Sophie has been mortifyingly single ever since. Now Thomas is back in her life because Sophie has unexpectedly inherited his aunt Connie's house on Scribbly Gum Island -- home of the famously unsolved Munro Baby mystery. </p> <p> Sophie moves onto the island and begins a new life as part of an unconventional family where it seems everyone has a secret. Grace, a beautiful young mother, is feverishly planning a shocking escape from her perfect life. Margie, a frumpy housewife, has made a pact with a stranger, while dreamy Aunt Rose wonders if maybe it's about time she started making her own decisions. </p> <p> As Sophie's life becomes increasingly complicated, she discovers that sometimes you have to stop waiting around -- and come up with your own fairy-tale ending. </p> <p> As she so adroitly did in her smashing debut novel, <i>Three Wishes</i>, the incomparable Liane Moriarty once again combines sharp wit, lovable and eccentric characters, and a page-turning story for an unforgettable <i>Last Anniversary</i>. </p>",388.0,4857.0
37045,1285705,"Mirror of My Soul (Nature of Desire, #4)",Joey W. Hill,1419953273,4.35,2008,1,6,Ellora's Cave,5:1072,4:550,3:231,2:46,1:24,total:1923,125,en-GB,,"<b>This book is a direct sequel to </b><a href=""https://www.goodreads.com/book/show/18802544.Ice_Queen"" title=""Ice Queen"" rel=""nofollow"">Ice Queen</a><b> and is not intended to be a stand-alone title.</b><br /><br />Some stories can't be contained between the covers of just one book. In Ice Queen, Tyler helped Mistress Marguerite fulfill the mentoring requirement The Zone club imposes on all its Dominant members, to learn about BDSM from the submissive's perspective. Though Marguerite is one of The Zone's most sought-after Mistresses, Tyler is convinced she is a ""switch"", a closet submissive. But the truth that is revealed is more remarkable than that.<br />As he begins to unravel the complex and terrible layers of her past, Tyler must do what he's never been willing to do before.<br /><br />Open up his own soul, offering Marguerite his own dark places in order to help them both heal. Only then will they be able to surrender to a force stronger even than The Zone's most powerful Master and Mistress—a force that can bind them together forever.<br /><br /><br /><i><b>Reader Advisory</b>: This intense book deals with myriad psychological issues including incest and violence toward women and children. Contains a scene of females exploring their sensuality together.</i>",356.0,125.0
37047,1285707,Holding the Cards,Joey W. Hill,1843604000,3.75,2004,1,5,"Ellora's Cave Publishing, Inc",5:674,4:832,3:593,2:191,1:103,total:2393,136,eng,,"<i>Book 1 in the Nature of Desire series.</i><br /><br />Lauren is a successful doctor with a healthy attitude toward sex, unashamed of her proclivities as a sexual dominant. She wants love and a family, but she's beginning to believe there is no Mr. Right willing to stand by her in sickness and health...and be cuffed, stripped, and smacked with a riding crop.<br /><br />Then her friend Lisette invites her to spend a long weekend on a private island. It turns out Lisette can't come with her, but Lauren opts to go anyway, with no one for company but Joshua, the island caretaker, and his visiting friend, Marcus. Though both men are beautiful, it is Joshua that catches Lauren's attention, and not just because Marcus prefers men.<br /><br />Something in Josh's stormy eyes calls to her. When Marcus facilitates a game of submission and control between the three of them that will last throughout the weekend, Lauren embraces the opportunity. Josh overwhelms her with his willingness to submit to her body's desires, but her heart wants to get to the secrets behind those eyes. She is going to have to tear down his defenses and make him give her everything. And this is one Mistress who doesn't take no for an answer...",256.0,136.0
39431,1291211,"Class A (Cherub, #2)",Robert Muchamore,0340881542,4.29,2006,1,11,Hachette Children's Books,5:9707,4:6778,3:2744,2:472,1:123,total:19824,618,en-US,,"Drugs, cars and guns!<br />Keith Moore is Europe's biggest cocaine dealer. The police have been trying to get enough evidence to nail him for more than twenty years.<br /><br />Now, four CHERUB agents are joining the hunt. Can a group of kids successfully infiltrate Keith Moore's organisation when dozens of attempts by undercover police officers have failed?<br /><br />James Adams must start at the bottom, making deliveries for small time drug dealers and getting to know the dangerous underworld they inhabit. He needs to make a big splash if he's going to win the confidence of the man at the top.",291.0,618.0
40690,1293450,"The Undead Next Door (Love at Stake, #4)",Kerrelyn Sparks,0061118451,4.2,2008,29,1,Avon,5:6229,4:4589,3:2373,2:423,1:84,total:13698,401,eng,,"Three signs that something is very different with your new man: <br /><br />1. He sleeps all day...which would be annoying except he's <i>so</i> attentive at night.<br /> <br />2. He's attacked by sword-wielding assailants, yet insists he can handle it on his own. <br /><br />3. He never seems to age. <br /><br />Heather Westfield has always lived a quiet life, but that all changes when she helps a very handsome, very mysterious stranger. There's something not quite right about Jean-Luc, but still, she's never been with a man so charming, so attractive...so wonderful. Now if only a murderous villain wasn't after them, they might get their happily-ever-after.",369.0,401.0
41609,1295102,Lock and Key,Sarah Dessen,067001088X,4.01,2008,22,4,Viking's Children's Books,5:51448,4:47863,3:30154,2:6945,1:2114,total:138524,4448,eng,,"<i>Ruby, where is your mother?</i><p> Ruby knows that the game is up. For the past few months, she's been on her own in the yellow house, managing somehow, knowing that her mother will probably never return.</p><p> That's how she comes to live with Cora, the sister she hasn't seen in ten years, and Cora's husband Jamie, whose down-to-earth demeanor makes it hard for Ruby to believe he founded the most popular networking Web site around. A luxurious house, fancy private school, a new wardrobe, the promise of college and a future; it's a dream come true. So why is Ruby such a reluctant Cinderella, wary and defensive? And why is Nate, the genial boy next door with some secrets of his own, unable to accept the help that Ruby is just learning to give?</p><p> Best-selling author Sarah Dessen explores the heart of a gutsy, complex girl dealing with unforeseen circumstances and learning to trust again.</p>",432.0,4448.0
42517,1297150,"Sword Song (The Saxon Stories, #4)",Bernard Cornwell,0060888644,4.31,2008,22,1,Harper,5:13150,4:12325,3:3508,2:275,1:42,total:29300,758,eng,,"The year is 885, and England is at peace, divided between the Danish kingdom to the north and the Saxon kingdom of Wessex in the south. Warrior by instinct and Viking by nature, Uhtred, the dispossessed son of a Northumbrian lord, has land, a wife and children—and a duty to King Alfred to hold the frontier on the Thames. But a dead man has risen, and new Vikings have invaded the decayed Roman city of London with dreams of conquering Wessex... with Uhtred’s help. Suddenly forced to weigh his oath to the king against the dangerous turning tide of shifting allegiances and deadly power struggles, Uhtred—Alfred’s sharpest sword—must now make the choice that will determine England’s future.",336.0,758.0
42862,1297985,Musicophilia: Tales of Music and the Brain,Oliver Sacks,0676979785,3.92,2007,16,10,Knopf Canada,5:19787,4:17819,3:11596,2:3233,1:2082,total:54517,1752,eng,,"With the same trademark compassion and erudition he brought to The Man Who Mistook His Wife for a Hat, Oliver Sacks explores the place music occupies in the brain and how it affects the human condition. In Musicophilia, he shows us a variety of what he calls “musical misalignments.” Among them: a man struck by lightning who suddenly desires to become a pianist at the age of forty-two; an entire group of children with Williams syndrome, who are hypermusical from birth; people with “amusia,” to whom a symphony sounds like the clattering of pots and pans; and a man whose memory spans only seven seconds-for everything but music. Illuminating, inspiring, and utterly unforgettable, Musicophilia is Oliver Sacks’ latest masterpiece.",400.0,1752.0
311,800545,The Color Purple,Alice Walker,,4.21,2003,28,5,"A Harvest Book/Harcourt, Inc.",5:231216,4:172379,3:72231,2:16313,1:7016,total:499155,485,eng,,"<i>The Color Purple</i> is the story of two sisters--one a missionary to Africa and the other a child wife living in the South--who remain loyal to one another across time, distance, and silence. Beautifully imagined and deeply compassionate, this classic of American literature is rich with passion, pain, inspiration, and an indomitable love of life.",294.0,485.0
2384,804414,"Rises The Night (The Gardella Vampire Hunters, #2)",Colleen Gleason,045122146X,4.04,2007,5,6,Signet,5:1058,4:1187,3:598,2:124,1:31,total:2998,159,eng,,"The saga of Victoria Gardella continues as the glorious nineteenth-century city of Rome gives rise to a new threat from the immortal undead....<br /><br />Lady Victoria Gardella Grantworth de Lacy has been a vampire slayer for just over a year, balancing her life as a peer of Society with the dangerous role that takes her out on moonlit streets, stake in hand. She has learned brutal and heartbreaking lessons about the sacrifices that must be made in order to save humanity from the evil that secretly preys upon it, but she has not wavered in her vow to fight on. <br /><br />Now, in Italy, a powerful vampire is amassing the power to control the souls of the dead. As Victoria races across Europe to stop what could be the most deadly army the Gardellas have ever faced, her unlikely companion is Sebastian Vioget--a man as tempting as he is untrustworthy. <br /><br />But when Victoria discovers she has been betrayed by one of her most trusted allies, the truth will challenge all her powers as a Venator...and as a woman.",343.0,159.0
3389,806314,Coraline,Neil Gaiman,0060575913,4.07,2004,1,5,HarperTrophy,5:180754,4:165422,3:84142,2:18902,1:9613,total:458833,139,eng,,"Coraline lives with her preoccupied parents in part of a huge old house--a house so huge that other people live in it, too... round, old former actresses Miss Spink and Miss Forcible and their aging Highland terriers (""We trod the boards, luvvy"") and the mustachioed old man under the roof (""'The reason you cannot see the mouse circus,' said the man upstairs, 'is that the mice are not yet ready and rehearsed.'"") Coraline contents herself for weeks with exploring the vast garden and grounds. But with a little rain she becomes bored--so bored that she begins to count everything blue (153), the windows (21), and the doors (14). And it is the 14th door that--sometimes blocked with a wall of bricks--opens up for Coraline into an entirely alternate universe. Now, if you're thinking fondly of <i>The Lion, the Witch, and the Wardrobe</i> or <i>Alice's Adventures in Wonderland</i>, you're on the wrong track. Neil Gaiman's <i>Coraline</i> is far darker, far stranger, playing on our deepest fears. And, like Roald Dahl's work, it is delicious. <p> What's on the other side of the door? A distorted-mirror world, containing presumably everything Coraline has ever dreamed of... people who pronounce her name correctly (not ""Caroline""), delicious meals (not like her father's overblown ""recipes""), an unusually pink and green bedroom (not like her dull one), and plenty of horrible (very un-boring) marvels, like a man made out of live rats. The creepiest part, however, is her mirrored parents, her ""other mother"" and her ""other father""--people who look just like her own parents, but with big, shiny, black button eyes, paper-white skin... and a keen desire to keep her on <i>their</i> side of the door. To make creepy creepier, <i>Coraline</i> has been illustrated masterfully in scritchy, terrifying ink drawings by British mixed-media artist and Sandman cover illustrator Dave McKean. This delightful, funny, haunting, scary as heck, fairy-tale novel is about as fine as they come. Highly recommended. (Ages 11 and older) <i>--Karin Snelson</i></p>",195.0,139.0
6013,811161,"A Betrayal in Winter (Long Price Quartet, #2)",Daniel Abraham,0765313413,3.88,2007,21,8,Tor Books,5:1589,4:2823,3:1555,2:287,1:65,total:6319,268,eng,,"Daniel Abraham delighted fantasy readers with his brilliant, original, and engaging first novel, <i>A Shadow in Summer</i>. Now he has produced an even more powerful sequel, a tragedy as darkly personal and violent as Shakespeare's <i>Macbeth</i>.<br /> <br />As a boy, Otah Machi was exiled from his family, Machi's ruling house. Decades later, he has witnessed and been part of world-changing events. Yet he has never returned to Machi. Now his father--the Khai, or ruler, of Machi--is dying and his eldest brother Biitrah has been assassinated, Otah realizes that he must return to Machi, for reasons not even he understands.<br /> <br />Tradition dictates that the sons of a dying Khai fall upon each other until only one remains to succeed his father. But something even worse is occurring in Machi. The Galts, an expansive empire, has allied with someone in Machi to bring down the ruling house. Otah is accused, the long-missing brother with an all-too-obvious motive for murder.<br /> <br />With the subtlety and wonderful storytelling skill of his first novel, Abraham has created a masterful drama filled with a unique magic, a suspenseful thriller of sexual betrayal, and Machiavellian politics.",320.0,268.0
7130,813214,The Mist,Stephen King,,3.95,2007,2,10,Signet,5:35892,4:40459,3:26610,2:5609,1:1212,total:109782,2155,eng,,"It's a hot, lazy day, perfect for a cookout, until you see those strange dark clouds. Suddenly a violent storm sweeps across the lake and ends as abruptly and unexpectedly as it had begun. Then comes the mist...creeping slowly, inexorably into town, where it settles and waits, trapping you in the supermarket with dozens of others, cut off from your families and the world. The mist is alive, seething with unearthly sounds and movements. What unleashed this terror? Was it the Arrowhead Project---the top secret government operation that everyone has noticed but no one quite understands? And what happens when the provisions have run out and you're forced to make your escape, edging blindly through the dim light?",230.0,2155.0
7555,814060,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,0553242954,4.26,1982,1,4,Bantam Classics,5:362631,4:200834,3:97175,2:24211,1:12125,total:696976,305,eng,,"When Marilla Cuthbert's brother, Matthew, returns home to Green Gables with a chatty redheaded orphan girl, Marilla exclaims, ""But we asked for a boy. We have no use for a girl."" It's not long, though, before the Cuthberts can't imagine how they could ever do without young Anne of Green Gables--but not for the original reasons they sought an orphan. Somewhere between the time Anne ""confesses"" to losing Marilla's amethyst pin (which she never took) in hopes of being allowed to go to a picnic, and when Anne accidentally dyes her hated carrot-red hair green, Marilla says to Matthew, ""One thing's for certain, no house that Anne's in will ever be dull."" And no book that she's in will be, either. <i>--Emilie Coulter (from a review of an abridged version)</i>",309.0,305.0
8185,815150,"The Highlander's Touch (Highlander, #3)",Karen Marie Moning,044024417X,4.14,2007,29,5,Dell Publishing Company,5:12460,4:10308,3:5497,2:1033,1:281,total:29579,788,eng,,"A Warrior Of Immortal Powers<br /><br />He was a mighty Scottish warrior who lived in a world bound by ancient laws and timeless magic. But no immortal powers could prepare the laird of Castle Brodie for the lovely accursed lass who stood before him. A terrible trick of fate had sent her 700 years back in time and into his private chamber to tempt him with her beauty—and seduce him with a desire he could never fulfill. For this woman he burned to possess was also<br />the woman he had foresworn to destroy. <br /><br />A Woman Caught In The Mists Of Time<br /><br />When Lisa felt the earth move under her feet, the fiercely independent 21st-century woman never dreamed she was falling...into another century. But the powerful, naked warrior who stood glaring down at her was only too real...and too dangerously arousing. Irresistibly handsome he might be, but Lisa had no intention of remaining in this savage land torn by treachery and war. How could she know that her seductive captor had other plans for her...plans that would save her from a tragic fate? Or that this man who had long ago forsaken love would defy time itself to claim her for his own....",356.0,788.0
8266,815309,On Chesil Beach,Ian McEwan,0224081187,3.59,2007,23,3,Jonathan Cape,5:13424,4:26574,3:21799,2:7069,1:2316,total:71182,5178,eng,,"A novel of remarkable depth and poignancy from one of the most acclaimed writers of our time.<br /><br />It is July 1962. Florence is a talented musician who dreams of a career on the concert stage and of the perfect life she will create with Edward, an earnest young history student at University College of London, who unexpectedly wooed and won her heart. Newly married that morning, both virgins, Edward and Florence arrive at a hotel on the Dorset coast. At dinner in their rooms they struggle to suppress their worries about the wedding night to come. Edward, eager for rapture, frets over Florence’s response to his advances and nurses a private fear of failure, while Florence’s anxieties run deeper: she is overcome by sheer disgust at the idea of physical contact, but dreads disappointing her husband when they finally lie down together in the honeymoon suite. <br /><br />Ian McEwan has caught with understanding and compassion the innocence of Edward and Florence at a time when marriage was presumed to be the outward sign of maturity and independence. <i>On Chesil Beach</i> is another masterwork from McEwan—a story of lives transformed by a gesture not made or a word not spoken.",166.0,5178.0
8317,815401,"The Reaction (Animorphs, #12)",K.A. Applegate,0590997343,3.73,1997,1,11,Scholastic Paperbacks,5:999,4:1250,3:1295,2:309,1:45,total:3898,110,eng,,"Rachel's got some pretty strange stuff happening. She can't control her morphing. One minute, she's doing homework. The next, she's morphing a full-grown crocodile, and -- without returning to human form -- she becomes an elephant. That's when the floor gives way and Rachel finds herself looking up at what <i>used</i> to be the kitchen ceiling.<br /><br />What's going on? No one's sure, but Rachel and the other Animorphs have to figure it out -- quickly. Because if someone sees Rachel's out-of-control morphing, the other Animorphs and Ax are in some serious trouble...",152.0,110.0
8750,816080,"The Murder of Roger Ackroyd (Hercule Poirot, #4)",Agatha Christie,0007141343,4.25,2002,2,4,HarperCollins Publishers,5:63129,4:52030,3:20992,2:2843,1:640,total:139634,417,eng,,Roger Ackroyd was a man who knew too much.<br /><br />He knew the woman he loved had poisoned her first husband. He knew someone was blackmailing her ― and now he knew she had taken her own life with a drug overdose.<br /><br />Soon the evening post would let him know who the mystery blackmailer was. But Ackroyd was dead before he'd finished reading it ― stabbed through the neck where he sat in his study...,368.0,417.0
